Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Industrial Energy Use (%),Household Energy Use (%),Carbon Emissions (Million Tons),Energy Price Index (USD/kWh)
Canada,2018,9525.38,42301.43,13.7,70.47,45.18,19.96,3766.11,0.12
Germany,2020,7922.08,36601.38,33.63,41.95,34.32,22.27,2713.12,0.08
Russia,2002,6630.01,41670.2,10.82,39.32,53.66,26.44,885.98,0.26
Brazil,2010,8580.19,10969.58,73.24,16.71,30.55,27.6,1144.11,0.47
Canada,2006,848.88,32190.85,73.6,74.86,42.39,23.43,842.39,0.48
UK,2016,4682.02,2491.92,40.47,69.06,20.07,23.39,2242.11,0.35
India,2024,9893.64,3912.56,27.07,31.7,57.59,18.56,3626.5,0.13
Canada,2008,7719.04,35819.59,15.03,62.73,57.93,21.51,3808.66,0.05
Russia,2020,9624.55,1708.8,77.36,63.39,48.42,24.01,525.95,0.2
Brazil,2008,7818.38,29198.37,79.59,25.95,36.93,27.93,2504.76,0.11
Germany,2009,8761.33,42100.05,27.63,52.96,27.14,13.92,2433.13,0.39
Russia,2012,7094.64,19307.12,57.85,27.85,39.7,32.92,2222.49,0.49
Russia,2014,7628.97,2719.6,26.99,65.29,51.66,30.42,1541.02,0.09
India,2021,5279.46,35835.45,24.14,20.77,44.21,18.96,2405.25,0.23
Australia,2004,9249.95,46519.48,6.8,56.82,41.1,23.78,2607.2,0.46
Brazil,2002,8267.89,35999.98,54.06,32.82,53.98,38.41,3018.5,0.38
China,2007,8454.46,29133.14,17.75,12.53,32.53,10.61,1917.96,0.44
Russia,2019,6762.79,11886.43,6.05,18.66,54.4,34.34,4728.25,0.47
Australia,2009,3115.34,1261.09,13.91,55.84,37.58,25.35,1727.25,0.24
China,2012,452.73,34886.27,31.67,26.79,20.1,28.56,4480.5,0.36
Brazil,2002,9362.99,11935.8,61.88,54.17,49.28,30.54,4016.2,0.37
USA,2021,5902.59,42979.05,22.22,39.04,55.11,23.68,2353.09,0.33
UK,2007,3051.62,23585.02,80.45,58.49,39.37,15.76,2506.75,0.2
Australia,2008,1576.44,26766.46,29.52,44.51,38.19,37.29,4355.81,0.42
Japan,2021,8312.28,37819.86,33.15,31.6,52.22,32.21,2488.99,0.4
USA,2020,8381.55,39081.82,23.53,20.21,55.39,26.79,3412.93,0.25
UK,2011,8163.63,32311.22,26.57,33.88,58.98,23.45,4056.05,0.24
India,2010,6486.32,46952.37,11.3,54.44,33.83,24.98,4544.01,0.05
Canada,2001,3723.55,49123.77,30.06,61.83,43.79,34.71,1129.91,0.43
Germany,2017,3110.3,47370.83,78.07,21.22,52.92,10.38,4878.06,0.18
Japan,2008,184.69,41296.87,63.52,56.5,41.27,35.96,4828.4,0.26
India,2001,8352.71,35428.45,79.4,22.55,38.47,11.4,1521.91,0.24
Brazil,2001,965.58,33334.63,13.91,25.53,42.88,28.48,3087.95,0.36
India,2002,6344.47,5635.63,43.73,47.19,34.27,19.99,282.24,0.23
Canada,2015,5090.34,13938.48,24.49,30.24,27.68,30.35,880.75,0.13
Brazil,2018,5314.22,781.57,66.3,56.31,22.67,12.57,2939.9,0.44
Japan,2003,9274.46,7301.79,87.47,76.9,44.4,26.69,3268.03,0.13
Canada,2022,412.99,22241.86,74.31,20.42,35.17,35.66,2696.28,0.06
China,2024,7756.58,7753.56,8.0,49.94,55.32,24.84,3538.37,0.14
Germany,2017,615.32,45132.34,31.92,74.63,28.92,12.53,3974.81,0.25
Japan,2019,477.72,40382.11,7.43,22.36,32.43,11.12,883.87,0.24
China,2024,4355.2,4044.79,8.41,35.68,58.82,28.64,3315.11,0.41
UK,2017,724.44,12821.23,11.76,18.65,42.25,12.09,2834.86,0.14
Japan,2009,7912.53,41044.06,28.49,54.94,33.87,12.14,632.05,0.4
UK,2010,5342.67,40250.78,30.86,56.84,54.44,22.76,1181.59,0.09
Brazil,2016,387.48,47299.8,39.04,56.49,49.74,16.29,2127.36,0.26
China,2023,500.96,49878.61,39.42,47.95,42.93,16.13,4325.6,0.44
Germany,2024,6165.42,48825.37,70.57,62.24,55.56,24.43,1124.28,0.24
Canada,2022,8080.51,20801.83,17.02,12.51,23.76,18.42,955.47,0.48
